,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
39,Top Gun: Maverick,(2022),130 min,8.5,78        ,"343,353",#63,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
40,The Intouchables,(2011),112 min,8.5,57        ,"845,502",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
41,The Prestige,(2006),130 min,8.5,66        ,"1,314,592",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
42,The Departed,(2006),151 min,8.5,85        ,"1,307,623",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
43,The Pianist,(2002),150 min,8.5,85        ,"819,428",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
44,Gladiator,(2000),155 min,8.5,67        ,"1,478,262",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
45,American History X,(1998),119 min,8.5,62        ,"1,110,409",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
46,The Usual Suspects,(1995),106 min,8.5,77        ,"1,073,692",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
47,Léon,(1994),110 min,8.5,64        ,"1,145,035",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
48,The Lion King,(1994),88 min,8.5,88        ,"1,043,032",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
49,Nuovo Cinema Paradiso,(1988),155 min,8.5,80        ,"258,619",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
50,Hotaru no haka,(1988),89 min,8.5,94        ,"273,182",#45,A young boy and his little sister struggle to survive in Japan during World War II.
51,Back to the Future,(1985),116 min,8.5,87        ,"1,183,993",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
52,Apocalypse Now,(1979),147 min,8.5,94        ,"660,651",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
53,Alien,(1979),117 min,8.5,89        ,"869,677",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
54,Once Upon a Time in the West,(1968),165 min,8.5,80        ,"327,173",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
55,Psycho,(1960),109 min,8.5,97        ,"663,530",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
56,Rear Window,(1954),112 min,8.5,100        ,"487,071",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
57,Casablanca,(1942),102 min,8.5,100        ,"566,580",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
58,Modern Times,(1936),87 min,8.5,96        ,"240,665",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
59,City Lights,(1931),87 min,8.5,99        ,"183,763",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
60,Vikram,(2022),175 min,8.4,****,"48,321",%^%^%^,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved."
61,Capharnaüm,(2018),126 min,8.4,75        ,"87,899",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
62,Joker,(I) (2019),122 min,8.4,59        ,"1,237,779",$335.45M,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
63,Kimi no na wa.,(2016),106 min,8.4,79        ,"261,081",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
64,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"512,467",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
65,Avengers: Endgame,(2019),181 min,8.4,78        ,"1,097,362",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
66,Avengers: Infinity War,(2018),149 min,8.4,68        ,"1,052,395",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
67,Coco,(I) (2017),105 min,8.4,81        ,"493,738",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
68,Django Unchained,(2012),165 min,8.4,81        ,"1,525,738",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
69,The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,681,069",$448.14M,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
70,Drishyam 2,(2021),152 min,8.4,****,"35,975",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
71,3 Idiots,(2009),170 min,8.4,67        ,"395,067",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
72,K.G.F: Chapter 2,(2022),168 min,8.4,****,"121,886",%^%^%^,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
73,Shershaah,(2021),135 min,8.4,****,"119,719",%^%^%^,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
74,Sardar Udham,(2021),164 min,8.4,****,"41,400",%^%^%^,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
75,WALL·E,(2008),98 min,8.4,95        ,"1,101,946",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
76,The Lives of Others,(2006),137 min,8.4,89        ,"387,201",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
77,Oldeuboi,(2003),101 min,8.4,77        ,"571,508",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
78,Memento,(2000),113 min,8.4,80        ,"1,223,897",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
79,American Beauty,(1999),122 min,8.4,84        ,"1,143,677",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
80,Mononoke-hime,(1997),134 min,8.4,76        ,"389,757",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
81,Braveheart,(1995),178 min,8.4,68        ,"1,028,501",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
82,Idi i smotri,(1985),142 min,8.4,****,"77,994",#99,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
83,Aliens,(1986),137 min,8.4,84        ,"710,061",$85.16M,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
84,Amadeus,(1984),160 min,8.4,88        ,"398,299",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
85,Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"956,083",$248.16M,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis."
86,Das Boot,(1981),149 min,8.4,86        ,"249,864",$11.49M,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
87,The Shining,(1980),146 min,8.4,66        ,"1,003,965",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
88,Tengoku to jigoku,(1963),143 min,8.4,90        ,"44,449",#89,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
89,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        ,"486,914",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
90,Witness for the Prosecution,(1957),116 min,8.4,76        ,"124,494",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
91,Paths of Glory,(1957),88 min,8.4,90        ,"196,174",#60,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
92,Sunset Blvd.,(1950),110 min,8.4,****,"220,611",#59,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
93,The Great Dictator,(1940),125 min,8.4,****,"222,727",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
94,Chhichhore,(2019),143 min,8.3,****,"52,882",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
95,Hamilton,(2020),160 min,8.3,90        ,"91,919",#117,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
96,Ratsasan,(2018),170 min,8.3,****,"42,319",%^%^%^,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
97,Ayla: The Daughter of War,(2017),125 min,8.3,****,"39,597",%^%^%^,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
98,Dangal,(2016),161 min,8.3,****,"188,601",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
99,Drishyam,(2013),160 min,8.3,****,"41,144",%^%^%^,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
100,Jagten,(2012),115 min,8.3,77        ,"325,793",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
101,Jodaeiye Nader az Simin,(2011),123 min,8.3,95        ,"244,077",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
102,Incendies,(2010),131 min,8.3,80        ,"175,790",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
103,Spider-Man: No Way Home,(2021),148 min,8.3,71        ,"718,096",$804.75M,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
104,Up,(2009),96 min,8.3,88        ,"1,031,150",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
105,Taare Zameen Par,(2007),165 min,8.3,****,"192,001",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
106,Toy Story 3,(2010),103 min,8.3,92        ,"827,545",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
107,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,423,169",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
108,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        ,"995,220",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
109,Le fabuleux destin d'Amélie Poulain,(2001),122 min,8.3,69        ,"751,051",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
110,Snatch,(2000),104 min,8.3,55        ,"847,605",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
111,Requiem for a Dream,(2000),102 min,8.3,68        ,"832,716",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
112,Good Will Hunting,(1997),126 min,8.3,70        ,"953,618",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
113,Toy Story,(1995),81 min,8.3,95        ,"981,694",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
114,Heat,(1995),170 min,8.3,76        ,"647,290",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
115,Reservoir Dogs,(1992),99 min,8.3,79        ,"1,005,286",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
116,Full Metal Jacket,(1987),116 min,8.3,76        ,"734,970",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
117,Once Upon a Time in America,(1984),229 min,8.3,75        ,"349,012",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
118,Scarface,(1983),170 min,8.3,65        ,"827,545",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
119,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"1,041,016",$309.13M,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
120,The Sting,(1973),129 min,8.3,83        ,"260,501",$159.60M,Two grifters team up to pull off the ultimate con.
121,A Clockwork Orange,(1971),136 min,8.3,77        ,"820,885",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
122,2001: A Space Odyssey,(1968),149 min,8.3,84        ,"661,444",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
123,To Kill a Mockingbird,(1962),129 min,8.3,88        ,"314,945",#109,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice."
124,Lawrence of Arabia,(1962),218 min,8.3,100        ,"291,804",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
125,Judgment at Nuremberg,(1961),179 min,8.3,60        ,"77,436",#134,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
126,The Apartment,(1960),125 min,8.3,94        ,"180,562",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
127,North by Northwest,(1959),136 min,8.3,98        ,"325,744",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
128,Vertigo,(1958),128 min,8.3,100        ,"399,295",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
129,Pather Panchali,(1955),125 min,8.3,****,"32,702",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
130,Singin' in the Rain,(1952),103 min,8.3,99        ,"240,746",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
131,Ikiru,(1952),143 min,8.3,91        ,"78,021",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
132,Ladri di biciclette,(1948),89 min,8.3,****,"162,750",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
133,Double Indemnity,(1944),107 min,8.3,95        ,"156,562",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
134,Citizen Kane,(1941),119 min,8.3,100        ,"439,248",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
135,M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3,****,"157,170",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
136,Metropolis,(1927),153 min,8.3,98        ,"173,491",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
137,The Kid,(1921),68 min,8.3,****,"126,044",$5.45M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
138,1917,(2019),119 min,8.2,78        ,"571,255",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
139,Uri: The Surgical Strike,(2019),138 min,8.2,****,"62,202",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
140,Tumbbad,(2018),104 min,8.2,****,"44,806",%^%^%^,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
141,Andhadhun,(2018),139 min,8.2,****,"91,675",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
142,K.G.F: Chapter 1,(2018),156 min,8.2,****,"82,184",%^%^%^,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine."
143,Green Book,(2018),130 min,8.2,69        ,"478,920",$85.08M,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
144,Everything Everywhere All at Once,(2022),139 min,8.2,81        ,"194,377",#190,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led."
145,Vikram Vedha,(2017),147 min,8.2,****,"40,758",%^%^%^,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
146,Baahubali 2: The Conclusion,(2017),167 min,8.2,****,"98,175",$20.19M,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
147,Drishyam,(2015),163 min,8.2,****,"81,203",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
148,Bhaag Milkha Bhaag,(2013),186 min,8.2,****,"67,788",$1.63M,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
